"","MGM_BLD_PK","ENTIR_ADDR","USE_PURPS_CD","USE_YM","USE_QTY","USE_QTY_ORIGIN","UNIT_CD","ENGY_SPLY_KIK_CD","ENGY_ESNCNO"
"202","41171-9997","경기도 안양시 만안구 안양동 371번지",8,202002,21.17,23,1,1100100000,214657414
"203","41171-9997","경기도 안양시 만안구 안양동 371번지",8,202002,61.913,66,1,1100100000,214657423
"204","41171-9997","경기도 안양시 만안구 안양동 371번지",2,202002,42.756,46,1,1100100000,214657478
"205","41171-9997","경기도 안양시 만안구 안양동 371번지",8,202002,143.813,159,1,1100100000,214657646
"206","41171-9997","경기도 안양시 만안구 안양동 371번지",8,202002,55.711,59,1,1100100000,214657691
"207","41171-28324","경기도 안양시 만안구 안양동 371번지",7,202003,282.298,270,1,1100100000,214657370
"208","41171-28324","경기도 안양시 만안구 안양동 371번지",7,202003,5026.837,5518.746,8,1201000000,6100314364
"209","41171-28325","경기도 안양시 만안구 안양동 371번지",7,202003,191.833,181,1,1100100000,214657487
"210","41171-28325","경기도 안양시 만안구 안양동 371번지",7,202003,614.404,594.3202,8,1201000000,6100314612
"211","41171-28326","경기도 안양시 만안구 안양동 371번지",7,202003,248.991,239,1,1100100000,214657566
"212","41171-28326","경기도 안양시 만안구 안양동 371번지",7,202003,8815.534,8957.357,8,1201000000,6100314830
"213","41171-28327","경기도 안양시 만안구 안양동 371번지",7,202003,163.463,151,1,1100100000,214657389
"214","41171-28327","경기도 안양시 만안구 안양동 371번지",7,202003,5205.061,5306.492,8,1201000000,6100314404
"215","41171-28328","경기도 안양시 만안구 안양동 371번지",7,202003,152.855,147,1,1100100000,214657539
"216","41171-28328","경기도 안양시 만안구 안양동 371번지",7,202003,1334.184,1358.466,8,1201000000,6100314747
"217","41171-28329","경기도 안양시 만안구 안양동 371번지",7,202003,210.393,196,1,1100100000,214657548
"218","41171-28329","경기도 안양시 만안구 안양동 371번지",7,202003,2466.934,3268.803,8,1201000000,6100314764
"219","41171-28330","경기도 안양시 만안구 안양동 371번지",7,202003,119.989,110,1,1100100000,214657469
"220","41171-28330","경기도 안양시 만안구 안양동 371번지",7,202003,710.868,551.8797,8,1201000000,6100314576
"221","41171-28331","경기도 안양시 만안구 안양동 371번지",7,202003,195.754,175,1,1100100000,214657637
"222","41171-28331","경기도 안양시 만안구 안양동 371번지",7,202003,5720.315,6325.341,8,1201000000,6100315014
"223","41171-28332","경기도 안양시 만안구 안양동 371번지",7,202003,148.075,130,1,1100100000,214657619
"224","41171-28332","경기도 안양시 만안구 안양동 371번지",7,202003,2027.872,2504.666,8,1201000000,6100314984
"225","41171-28333","경기도 안양시 만안구 안양동 371번지",7,202003,196.264,183,1,1100100000,214657520
"226","41171-28333","경기도 안양시 만안구 안양동 371번지",7,202003,7692.102,7938.518,8,1201000000,6100314716
"227","41171-28334","경기도 안양시 만안구 안양동 371번지",7,202003,228.427,225,1,1100100000,214657593
"228","41171-28334","경기도 안양시 만안구 안양동 371번지",7,202003,3098.535,3268.799,8,1201000000,6100314915
"229","41171-28335","경기도 안양시 만안구 안양동 371번지",7,202003,203.832,194,1,1100100000,214657511
"230","41171-28335","경기도 안양시 만안구 안양동 371번지",7,202003,4234.405,5476.292,8,1201000000,6100314689
"231","41171-28336","경기도 안양시 만안구 안양동 371번지",7,202003,235.06,219,1,1100100000,214657405
"232","41171-28336","경기도 안양시 만안구 안양동 371번지",7,202003,6758.671,6877.212,8,1201000000,6100314482
"233","41171-28337","경기도 안양시 만안구 안양동 371번지",7,202003,204.115,193,1,1100100000,214657584
"234","41171-28337","경기도 안양시 만안구 안양동 371번지",7,202003,3563.479,3311.24,8,1201000000,6100314888
"235","41171-28338","경기도 안양시 만안구 안양동 371번지",7,202003,210.262,199,1,1100100000,214657502
"236","41171-28338","경기도 안양시 만안구 안양동 371번지",7,202003,1395.658,1485.813,8,1201000000,6100314663
"237","41171-28339","경기도 안양시 만안구 안양동 371번지",7,202003,248.951,234,1,1100100000,214657398
"238","41171-28339","경기도 안양시 만안구 안양동 371번지",7,202003,2007.376,2462.213,8,1201000000,6100314448
"239","41171-28340","경기도 안양시 만안구 안양동 371번지",7,202003,242.81,228,1,1100100000,214657575
"240","41171-28340","경기도 안양시 만안구 안양동 371번지",7,202003,2961.289,3565.959,8,1201000000,6100314865
"241","41171-28341","경기도 안양시 만안구 안양동 371번지",7,202003,242.713,229,1,1100100000,214657496
"242","41171-28341","경기도 안양시 만안구 안양동 371번지",7,202003,7531.044,7556.438,8,1201000000,6100314645
"243","41171-28342","경기도 안양시 만안구 안양동 371번지",7,202003,261.077,242,1,1100100000,214657557
"244","41171-28342","경기도 안양시 만안구 안양동 371번지",7,202003,7001.713,7429.091,8,1201000000,6100314802
"245","41171-28343","경기도 안양시 만안구 안양동 371번지",7,202003,147.134,137,1,1100100000,214657628
"246","41171-28343","경기도 안양시 만안구 안양동 371번지",7,202003,3449.835,3948.034,8,1201000000,6100315004
"247","41171-28344","경기도 안양시 만안구 안양동 371번지",7,202003,129.949,122,1,1100100000,214657450
"248","41171-28344","경기도 안양시 만안구 안양동 371번지",7,202003,4131.309,4245.199,8,1201000000,6100314551
"249","41171-28345","경기도 안양시 만안구 안양동 371번지",7,202003,245.44,227,1,1100100000,214657441
"250","41171-28345","경기도 안양시 만안구 안양동 371번지",7,202003,3593.083,3905.573,8,1201000000,6100314529
"251","41171-28346","경기도 안양시 만안구 안양동 371번지",7,202003,409.834,393,1,1100100000,214657600
